from_pkg	kind	target	to_pkg	confidence
mozilla-firefox	dlopen	libcanberra.so.0	libcanberra	guess
mozilla-firefox	dlopen	libcurl.so.4	aaa_libraries	guess
mozilla-firefox	dlopen	libdbusmenu-glib.so.4	libdbusmenu	guess
mozilla-firefox	dlopen	libdbusmenu-gtk3.so.4	libdbusmenu	guess
mozilla-firefox	dlopen	libdl.so.2	aaa_glibc-solibs	guess
mozilla-firefox	dlopen	libdrm.so.2	libdrm	guess
mozilla-firefox	dlopen	libfreeblpriv3.so	mozilla-nss	guess
mozilla-firefox	dlopen	libgbm.so.1	mesa	guess
mozilla-firefox	dlopen	libgssapi_krb5.so.2	aaa_libraries	guess
mozilla-firefox	dlopen	libnotify.so.4	libnotify	guess
mozilla-firefox	dlopen	libpci.so.3	pciutils	guess
mozilla-firefox	dlopen	libpipewire-0.3.so.0	pipewire	guess
mozilla-firefox	dlopen	libpthread.so.0	aaa_glibc-solibs	guess
mozilla-firefox	dlopen	libpulse.so.0	pulseaudio	guess
mozilla-firefox	dlopen	librt.so.1	aaa_glibc-solibs	guess
mozilla-firefox	dlopen	libsecret-1.so.0	libsecret	guess
mozilla-firefox	dlopen	libspeechd.so.2	speech-dispatcher	guess
mozilla-firefox	dlopen	libudev.so.1	aaa_libraries	guess
mozilla-firefox	dlopen	libva-drm.so.2	libva	guess
mozilla-firefox	dlopen	libva.so.2	libva	guess
mozilla-thunderbird	dlopen	libEGL.so.1	libglvnd	guess
mozilla-thunderbird	dlopen	libGL.so.1	libglvnd	guess
mozilla-thunderbird	dlopen	libGLESv2.so.2	libglvnd	guess
mozilla-thunderbird	dlopen	libICE.so.6	libICE	guess
mozilla-thunderbird	dlopen	libSM.so.6	libSM	guess
mozilla-thunderbird	dlopen	libXss.so.1	libXScrnSaver	guess
mozilla-thunderbird	dlopen	libatk-bridge-2.0.so.0	at-spi2-core	guess
mozilla-thunderbird	dlopen	libavcodec.so.61	aaa_libraries	guess
mozilla-thunderbird	dlopen	libavcodec.so.62	ffmpeg	guess
mozilla-thunderbird	dlopen	libcanberra.so.0	libcanberra	guess
mozilla-thunderbird	dlopen	libcurl.so.4	aaa_libraries	guess
mozilla-thunderbird	dlopen	libdbusmenu-glib.so.4	libdbusmenu	guess
mozilla-thunderbird	dlopen	libdbusmenu-gtk3.so.4	libdbusmenu	guess
mozilla-thunderbird	dlopen	libdl.so.2	aaa_glibc-solibs	guess
mozilla-thunderbird	dlopen	libdrm.so.2	libdrm	guess
mozilla-thunderbird	dlopen	libfreeblpriv3.so	mozilla-nss	guess
mozilla-thunderbird	dlopen	libgbm.so.1	mesa	guess
mozilla-thunderbird	dlopen	libgssapi_krb5.so.2	aaa_libraries	guess
mozilla-thunderbird	dlopen	libmozavcodec.so	mozilla-firefox	guess
mozilla-thunderbird	dlopen	libnotify.so.4	libnotify	guess
mozilla-thunderbird	dlopen	libpci.so.3	pciutils	guess
mozilla-thunderbird	dlopen	libpipewire-0.3.so.0	pipewire	guess
mozilla-thunderbird	dlopen	libpthread.so.0	aaa_glibc-solibs	guess
mozilla-thunderbird	dlopen	libpulse.so.0	pulseaudio	guess
mozilla-thunderbird	dlopen	librt.so.1	aaa_glibc-solibs	guess
mozilla-thunderbird	dlopen	libsecret-1.so.0	libsecret	guess
mozilla-thunderbird	dlopen	libspeechd.so.2	speech-dispatcher	guess
mozilla-thunderbird	dlopen	libudev.so.1	aaa_libraries	guess
mozilla-thunderbird	dlopen	libva-drm.so.2	libva	guess
mozilla-thunderbird	dlopen	libva.so.2	libva	guess
mozilla-thunderbird	dlopen	libxul.so	mozilla-firefox	guess
mpfr	dlopen	libmpfr.so.6	aaa_libraries	guess
mutt	exec	/usr/bin/ispell	ispell	guess
mutt	exec	/usr/bin/sendmail	postfix	guess
ncurses	dlopen	libgpm.so.2	aaa_libraries	guess
ncurses	dlopen	libncurses++w.so.6	aaa_libraries	guess
netpbm	exec	/usr/bin/gs	ghostscript	guess
netwrite	exec	/usr/bin/write	util-linux	guess
nfs-utils	import	yaml	python-PyYAML	guess
nmap	import	cairo	pycairo	guess
nmap	import	gi	pygobject3	guess
nn	exec	/usr/bin/mailx	s-nail	guess
nodejs	build	gyp	gyp	guess
nodejs	import	packaging	python-packaging	guess
nvi	exec	/usr/bin/sendmail	postfix	guess
openal-soft	dlopen	libasound.so.2	aaa_libraries	guess
openal-soft	dlopen	libdbus-1.so.3	dbus	guess
openal-soft	dlopen	libpipewire-0.3.so.0	pipewire	guess
openal-soft	dlopen	libpulse.so.0	pulseaudio	guess
opencv	dlopen	libOpenCL.so.1	ocl-icd	guess
opencv	dlopen	libva.so.2	libva	guess
opencv	import	numpy	python-numpy	guess
opensc	dlopen	libpcsclite.so.1	pcsc-lite	guess
openssh	exec	/usr/bin/passwd	shadow	guess
openssh	exec	/usr/bin/xauth	xauth	guess
openssl-solibs	dlopen	libssl.so.3	openssl	guess
pam	exec	/usr/bin/xauth	xauth	guess
pidgin	import	dbus	dbus-python	guess
poke	exec	/usr/bin/objdump	binutils	guess
poppler	dlopen	libnssckbi.so	mozilla-nss	guess
popt	dlopen	libpopt.so.0	aaa_libraries	guess
procmail	exec	/usr/bin/sendmail	postfix	guess
protobuf	import	numpy	python-numpy	guess
pulseaudio	import	PyQt5	PyQt5_sip	guess
pulseaudio	import	dbus	dbus-python	guess
purpose5	dlopen	libphabricatorquickplugin.so	purpose	guess
purpose5	dlopen	librbpurposequickplugin.so	purpose	guess
pygobject3	import	cairo	pycairo	guess
pyparsing	import	jinja2	python-Jinja2	guess
python-Jinja2	import	markupsafe	python-MarkupSafe	guess
python-accessible-pygments	import	pygments	python-pygments	guess
python-alabaster	import	pygments	python-pygments	guess
python-appdirs	import	com	libwebp	guess
python-build	import	importlib_metadata	python-importlib_metadata	guess
python-build	import	packaging	python-packaging	guess
python-build	import	pyproject_hooks	python-pyproject-hooks	guess
python-cffi	import	pycparser	python-pycparser	guess
python-dnspython	import	idna	python-idna	guess
python-docutils	import	PIL	python-pillow	guess
python-docutils	import	pygments	python-pygments	guess
python-docutils	import	sphinx	python-sphinx	guess
python-doxypypy	import	chardet	python-chardet	guess
python-glad2	import	jinja2	python-Jinja2	guess
python-glad2	import	lxml	python-lxml	guess
python-hatch-fancy-pypi-readme	import	hatchling	python-hatchling	guess
python-hatch-vcs	import	hatchling	python-hatchling	guess
python-hatch-vcs	import	setuptools_scm	python-setuptools_scm	guess
python-hatchling	import	editables	python-editables	guess
python-hatchling	import	packaging	python-packaging	guess
python-hatchling	import	pathspec	python-pathspec	guess
python-hatchling	import	pluggy	python-pluggy	guess
python-hatchling	import	trove_classifiers	python-trove-classifiers	guess
python-html5lib	import	chardet	python-chardet	guess
python-html5lib	import	lxml	python-lxml	guess
python-html5lib	import	six	python-six	guess
python-html5lib	import	webencodings	python-webencodings	guess
python-importlib_metadata	import	zipp	python-zipp	guess
python-lxml	build	cython	Cython	guess
python-lxml	import	html5lib	python-html5lib	guess
python-markdown	import	importlib_metadata	python-importlib_metadata	guess
python-markdown	import	pygments	python-pygments	guess
python-markdown	import	yaml	python-PyYAML	guess
python-notify2	import	dbus	dbus-python	guess
python-numpy	build	Cython	Cython	guess
python-numpy	build	cython	Cython	guess
python-numpy	import	cffi	python-cffi	guess
python-numpy	import	charset_normalizer	python-charset-normalizer	guess
python-numpy	import	psutil	python-psutil	guess
python-numpy	import	yaml	python-PyYAML	guess
python-pbr	import	importlib_metadata	python-importlib_metadata	guess
python-pbr	import	packaging	python-packaging	guess
python-pbr	import	sphinx	python-sphinx	guess
python-pbr	import	wheel	python-wheel	guess
python-pillow	import	PyQt6	PyQt6_sip	guess
python-pillow	import	numpy	python-numpy	guess
python-pip	import	attr	python-attrs	guess
python-pip	import	docutils	python-docutils	guess
python-pip	import	sphinx	python-sphinx	guess
python-pygments	import	PIL	python-pillow	guess
python-pygments	import	chardet	python-chardet	guess
python-pygments	import	docutils	python-docutils	guess
python-pygments	import	sphinx	python-sphinx	guess
python-pyproject_metadata	import	packaging	python-packaging	guess
python-requests	import	certifi	python-certifi	guess
python-requests	import	chardet	python-chardet	guess
python-requests	import	charset_normalizer	python-charset-normalizer	guess
python-requests	import	idna	python-idna	guess
python-requests	import	urllib3	python-urllib3	guess
python-sane	import	PIL	python-pillow	guess
python-sane	import	numpy	python-numpy	guess
python-scikit-build-core	import	hatch_fancy_pypi_readme	python-hatch-fancy-pypi-readme	guess
python-scikit-build-core	import	hatchling	python-hatchling	guess
python-scikit-build-core	import	numpy	python-numpy	guess
python-scikit-build-core	import	packaging	python-packaging	guess
python-scikit-build-core	import	pathspec	python-pathspec	guess
python-scikit-build-core	import	pyproject_metadata	python-pyproject_metadata	guess
python-scikit-build-core	import	setuptools_scm	python-setuptools_scm	guess
python-setuptools	build	Cython	Cython	guess
python-setuptools	import	docutils	python-docutils	guess
python-setuptools	import	importlib_metadata	python-importlib_metadata	guess
python-setuptools	import	packaging	python-packaging	guess
python-setuptools	import	tomli_w	python-tomli-w	guess
python-setuptools	import	trove_classifiers	python-trove-classifiers	guess
python-setuptools	import	wheel	python-wheel	guess
python-setuptools	import	zipp	python-zipp	guess
python-setuptools_scm	import	vcs_versioning	python-vcs_versioning	guess
python-sphinx	import	PIL	python-pillow	guess
python-sphinx	import	babel	python-babel	guess
python-sphinx	import	docutils	python-docutils	guess
python-sphinx	import	imagesize	python-imagesize	guess
python-sphinx	import	jinja2	python-Jinja2	guess
python-sphinx	import	packaging	python-packaging	guess
python-sphinx	import	pygments	python-pygments	guess
python-sphinx	import	requests	python-requests	guess
python-sphinx	import	roman_numerals	python-roman-numerals	guess
python-sphinx	import	snowballstemmer	python-snowballstemmer	guess
python-sphinx	import	urllib3	python-urllib3	guess
python-sphinx_rtd_theme	import	sphinx	python-sphinx	guess
python-sphinx_rtd_theme	import	sphinxcontrib	python-sphinx	guess
python-trove-classifiers	import	importlib_metadata	python-importlib_metadata	guess
python-typogrify	import	jinja2	python-Jinja2	guess
python-typogrify	import	markupsafe	python-MarkupSafe	guess
python-typogrify	import	smartypants	python-smartypants	guess
python-urllib3	import	brotli	brotli	guess
python-urllib3	import	idna	python-idna	guess
python-vcs_versioning	import	packaging	python-packaging	guess
python-wheel	import	packaging	python-packaging	guess
python2	build	Cython	Cython	guess
python2	import	brotli	brotli	guess
python2	import	com	libwebp	guess
python2	import	docutils	python-docutils	guess
python2	import	google	protobuf	guess
python2	import	importlib_metadata	python-importlib_metadata	guess
python2	import	lxml	python-lxml	guess
python2	import	numpy	python-numpy	guess
python2	import	pygments	python-pygments	guess
python2	import	pyparsing	pyparsing	guess
python2	import	urllib3	python-urllib3	guess
python2	import	wheel	python-wheel	guess
python2	import	zipp	python-zipp	guess
python3	import	numpy	python-numpy	guess
python3	import	psutil	python-psutil	guess
qemu	exec	/usr/bin/smbd	samba	guess
qt5	dlopen	libnssckbi.so	mozilla-nss	guess
qt6	dlopen	libGL.so.1	libglvnd	guess
qt6	dlopen	libadwaita.so	gnome-themes-extra	guess
qt6	dlopen	libnssckbi.so	mozilla-nss	guess
qt6	dlopen	libpci.so.3	pciutils	guess
qt6	dlopen	libvulkan.so.1	vulkan-sdk	guess
qt6	dlopen	libvulkan_intel.so	mesa	guess
qt6	dlopen	libvulkan_radeon.so	mesa	guess
qt6	dlopen	libxcb-present.so.0	libxcb	guess
rcs	exec	/usr/bin/diff	diffutils	guess
rcs	exec	/usr/bin/diff3	diffutils	guess
rdist	exec	/usr/bin/rsh	netkit-rsh	guess
rdist	exec	/usr/bin/sendmail	postfix	guess
rp-pppoe	exec	/usr/bin/pppd	ppp	guess
rust	import	lldb	llvm	guess
s-nail	exec	/usr/bin/sendmail	postfix	guess
samba	import	dns	python-dnspython	guess
samba	import	markdown	python-markdown	guess
samba	import	requests	python-requests	guess
scons	import	importlib_metadata	python-importlib_metadata	guess
scons	import	libxml2	libxml2	guess
scons	import	libxslt	libxslt	guess
scons	import	lxml	python-lxml	guess
scons	import	psutil	python-psutil	guess
sdl	dlopen	libGL.so.1	libglvnd	guess
sdl	dlopen	libasound.so.2	aaa_libraries	guess
sdl	dlopen	libfluidsynth.so.3	fluidsynth	guess
sdl	dlopen	libpulse-simple.so.0	pulseaudio	guess
sdl	dlopen	libwebp.so.7	libwebp	guess
seamonkey	dlopen	libEGL.so.1	libglvnd	guess
seamonkey	dlopen	libGLESv2.so.2	libglvnd	guess
seamonkey	dlopen	libICE.so.6	libICE	guess
seamonkey	dlopen	libSM.so.6	libSM	guess
seamonkey	dlopen	libXss.so.1	libXScrnSaver	guess
seamonkey	dlopen	libatk-bridge-2.0.so.0	at-spi2-core	guess
seamonkey	dlopen	libcanberra.so.0	libcanberra	guess
seamonkey	dlopen	libcups.so.2	aaa_libraries	guess
seamonkey	dlopen	libgssapi_krb5.so.2	aaa_libraries	guess
seamonkey	dlopen	libmozavcodec.so	mozilla-firefox	guess
seamonkey	dlopen	libnotify.so.4	libnotify	guess
seamonkey	dlopen	libnssckbi.so	mozilla-nss	guess
seamonkey	dlopen	libpulse.so.0	pulseaudio	guess
seamonkey	dlopen	libspeechd.so.2	speech-dispatcher	guess
seamonkey	dlopen	libudev.so.1	aaa_libraries	guess
shadow	exec	/usr/bin/nscd	glibc	guess
sip	import	packaging	python-packaging	guess
slang1	dlopen	libslang.so.1	aaa_libraries	guess
speech-dispatcher	import	xdg	pyxdg	guess
spice	exec	/usr/bin/gstack	gdb	guess
squashfs-tools	exec	/usr/bin/less	less	guess
sudo	exec	/usr/bin/sendmail	postfix	guess
svgalib	dlopen	libvgagl.so.1	aaa_libraries	guess
system-config-printer	import	dbus	dbus-python	guess
system-config-printer	import	gi	pygobject3	guess
tar	exec	/usr/bin/rsh	netkit-rsh	guess
tin	exec	/usr/bin/gpg	gnupg2	guess
tin	exec	/usr/bin/ispell	ispell	guess
tin	exec	/usr/bin/lpr	cups	guess
tin	exec	/usr/bin/sendmail	postfix	guess
udisks2	dlopen	libbd_lvm.so.3	libblockdev	guess
upower	import	dbus	dbus-python	guess
upower	import	gi	pygobject3	guess
upower	import	packaging	python-packaging	guess
util-linux	exec	/usr/bin/ntpdate	ntp	guess
valgrind	dlopen	ld-linux-x86-64.so.2	aaa_glibc-solibs	guess
valgrind	dlopen	ld-linux.so.2	aaa_glibc-solibs	guess
valgrind	dlopen	libpthread.so.0	aaa_glibc-solibs	guess
vim	dlopen	libpython3.12.so.1.0	python3	guess
vim	dlopen	libruby.so.4.0	ruby	guess
vim-gvim	dlopen	libpython3.12.so.1.0	python3	guess
vim-gvim	dlopen	libruby.so.4.0	ruby	guess
wlroots	exec	/usr/bin/Xwayland	xorg-server-xwayland	guess
xdm	exec	/usr/bin/xrdb	xrdb	guess
xdm	exec	/usr/bin/xterm	xterm	guess
xfce4-screensaver	import	gi	pygobject3	guess
xfce4-session	exec	/usr/bin/iceauth	iceauth	guess
xfsdump	exec	/usr/bin/rsh	netkit-rsh	guess
xfsprogs	import	dbus	dbus-python	guess
xrdb	exec	/usr/bin/cpp	gcc	guess
xsm	exec	/usr/bin/ssh	openssh	guess
xterm	exec	/usr/bin/luit	luit	guess
zlib	dlopen	libz.so.1	aaa_libraries	guess
curl	use	/etc/ssl/certs	ca-certificates	manual
git	use	/etc/ssl/certs	ca-certificates	manual
openssl	use	/etc/ssl/certs	ca-certificates	manual
wget	use	/etc/ssl/certs	ca-certificates	manual
